
train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 60
classifier0: 0.974939369442, 0.895322939866, 0.933436532508

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 60
classifier1: 0.962171404146, 0.835560504826, 0.894407469951

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 60
classifier2: 0.962086346702, 0.814773570898, 0.882323384584

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 60
classifier3: 0.962219850587, 0.836674090572, 0.895066018068

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 60
classifier4: 0.96218579235, 0.81700074239, 0.883669577437

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 60
classifier5: 1.0, 1.0, 1.0

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 60
classifier6: 1.0, 0.999257609503, 0.999628666914

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 300
classifier0: 0.96343537415, 0.821014492754, 0.886541471049

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 300
classifier1: 0.945897204689, 0.760144927536, 0.842908798714

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 300
classifier2: 0.941008563273, 0.716666666667, 0.813656931304

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 300
classifier3: 0.94599459946, 0.761594202899, 0.843837816138

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 300
classifier4: 0.941120607787, 0.718115942029, 0.814632141389

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 300
classifier5: 1.0, 1.0, 1.0

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 300
classifier6: 1.0, 0.995652173913, 0.997821350763

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 600
classifier0: 0.975, 0.924568965517, 0.949115044248

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 600
classifier1: 0.960257159556, 0.885237068966, 0.921222315671

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 600
classifier2: 0.955294117647, 0.875, 0.913385826772

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 600
classifier3: 0.960257159556, 0.885237068966, 0.921222315671

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 600
classifier4: 0.955294117647, 0.875, 0.913385826772

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 600
classifier5: 1.0, 1.0, 1.0

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 600
classifier6: 1.0, 0.996767241379, 0.998381003778

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 900
classifier0: 0.960998439938, 0.915985130112, 0.937952036544

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 900
classifier1: 0.941869599372, 0.891449814126, 0.915966386555

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 900
classifier2: 0.935054773083, 0.888475836431, 0.911170415555

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 900
classifier3: 0.941869599372, 0.891449814126, 0.915966386555

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 900
classifier4: 0.935736677116, 0.887732342007, 0.911102632583

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 900
classifier5: 1.0, 1.0, 1.0

train: 2015-07-05-2015-07-31, test: 2015-09-01-2015-09-08
sampling: 1, period: 900
classifier6: 1.0, 0.997769516729, 0.998883513212
