,'sitemeter1', 'sitemeter2', 'sitemeter3', 'Tablet computer charger', 'Dish washer', 'Air handling unit', 'Fridge', 'HTPC', 'Freezer', 'Kettle', 'Lamp', 'Laptop computer', 'Stove', 'Television', 'Audio system'
2012-06-01 02:00:00+02:00,54.4026842075,21.1579433144,0.0,2.39570273333,0.0,0.00744556666667,0.413388266667,0.427016433333,37.7437396444,0.0,0.0198716444444,0.0,,0.0,0.427016433333
2012-06-01 02:15:00+02:00,104.210361455,21.1594944191,0.0,1.9947654,0.0,0.00744556666667,64.9678578667,0.4559667,23.4730873333,0.0,0.0173876888889,0.0,,0.0,0.4559667
2012-06-01 02:30:00+02:00,51.6708386654,21.1943154844,0.0,1.06568035556,0.0,0.00496371111111,4.68424105556,0.439079044444,32.0206255778,0.0,0.0198716444444,0.0,,0.0,0.439079044444
2012-06-01 02:45:00+02:00,41.3454364787,21.2094566218,0.0,1.05091342222,0.0,0.00248185555556,0.408466977778,0.470441833333,25.6581723333,0.0,0.0198716444444,0.0,,0.0,0.470441833333
2012-06-01 03:00:00+02:00,92.6607578786,21.1276267009,0.0,1.11982577778,0.0,0.00496371111111,40.4187231556,0.424603911111,37.9971562222,0.0,0.0273235111111,0.0,,0.0,0.424603911111
2012-06-01 03:15:00+02:00,61.7869600455,21.1635533439,0.0,1.1296704,0.0,0.00992742222222,30.2893665444,0.436666522222,17.1637166,0.0,0.0298074666667,0.0,,0.0,0.436666522222
2012-06-01 03:30:00+02:00,54.4908109209,21.1916288503,0.0,1.08783075556,0.0,0.00992742222222,0.342029577778,0.4776794,38.9547966,0.0,0.0173876888889,0.0,,0.0,0.4776794
2012-06-01 03:45:00+02:00,44.9710978275,21.2393676779,0.0,1.03614648889,0.0,0.00496371111111,11.8450602667,0.453554177778,18.1091372,0.0,0.0173876888889,0.0,,0.0,0.453554177778
2012-06-01 04:00:00+02:00,119.077194121,21.2246255027,0.0,1.15674311111,0.0,0.0,58.9355744222,0.468029311111,44.9042376667,0.0,0.0298074666667,0.0,,0.0,0.468029311111
2012-06-01 04:15:00+02:00,25.7938710435,21.2324076822,0.0,1.06075804444,0.0,0.0,0.3764786,0.4559667,10.3095583333,0.0,0.0298074666667,0.0,,0.0,0.4559667
2012-06-01 04:30:00+02:00,68.3575008647,21.2336243757,0.0,1.10752,0.0,0.00248185555556,0.401085044444,0.472854355556,52.7989997778,0.0,0.0223556,0.0,,0.0,0.472854355556
2012-06-01 04:45:00+02:00,75.7912804169,21.2206199434,0.0,1.14197617778,0.0,0.0,58.0350641556,0.480091922222,1.04895213333,0.0,0.0173876888889,0.0,,0.0,0.480091922222
2012-06-01 05:00:00+02:00,79.1426652707,21.1854544216,0.0,1.12720924444,0.0,0.00992742222222,12.9999582222,0.429428955556,52.5003276667,0.0,0.0273235111111,0.0,,0.0,0.429428955556
2012-06-01 05:15:00+02:00,24.3765955957,21.1418889046,0.0,1.06814151111,0.0,0.0124092777778,0.383860533333,0.407716255556,9.04481402222,0.0,0.0273235111111,0.0,,0.0,0.407716255556
2012-06-01 05:30:00+02:00,88.8939043511,21.1652844259,0.0,1.13951502222,0.0,0.00744556666667,30.3788268889,0.427016433333,44.3983179333,0.0,0.0248395555556,0.0,,0.0,0.427016433333
2012-06-01 05:45:00+02:00,71.3901767604,21.2157366138,0.0,1.16658773333,0.0,0.0,40.7816554444,0.458379222222,15.0621220667,0.0,0.0248395555556,0.0,,0.0,0.458379222222
2012-06-01 06:00:00+02:00,53.7054053052,21.2636976751,0.0,1.09767537778,0.0,0.0,0.383860533333,0.4993921,38.029103,0.0,0.0347753777778,0.0,,0.0,0.4993921
