timestamp,Laptop computer,Freezer,Coffee maker,Computer,Fridge,Kettle,HTPC,,
1356994800000000000,0,14,0,0,53,0,25,,"GMT: Mon, 31 Dec 2012 23:00:00 GMT"
1356995700000000000,0,21,0,0,53,0,63,,
1356996600000000000,0,14,0,0,24,0,25,,
1356997500000000000,0,0,0,0,53,0,63,,
1356998400000000000,0,21,0,0,53,0,63,,
1356999300000000000,0,14,0,0,0,0,25,,
1357000200000000000,0,0,0,0,53,0,0,,
1357001100000000000,0,21,0,0,53,0,63,,
1357002000000000000,0,0,0,0,24,0,63,,
1357002900000000000,0,14,0,0,0,0,0,,
1357003800000000000,0,14,0,0,24,0,25,,
1357004700000000000,0,21,0,0,0,0,0,,
1357005600000000000,0,21,0,0,53,0,63,,
1357006500000000000,0,0,0,0,0,0,25,,
1357007400000000000,0,14,0,0,24,0,0,,
1357008300000000000,0,14,0,0,0,0,0,,
1357009200000000000,0,0,0,0,0,0,0,,
1357010100000000000,0,21,0,0,0,0,63,,
1357011000000000000,0,14,0,0,0,0,0,,
1357011900000000000,0,0,0,0,0,0,0,,
1357012800000000000,0,14,0,0,24,0,0,,
1357013700000000000,0,14,0,0,24,0,0,,
1357014600000000000,0,14,0,0,0,0,0,,
1357015500000000000,0,21,0,0,0,0,0,,
1357016400000000000,0,21,0,0,53,0,63,,
1357017300000000000,0,14,0,0,0,0,0,,
1357018200000000000,0,14,0,0,0,0,0,,
1357019100000000000,0,0,0,0,24,0,0,,
1357020000000000000,0,14,0,0,24,0,25,,
1357020900000000000,0,14,0,0,0,0,0,,
1357021800000000000,0,0,0,0,0,0,0,,
1357022700000000000,0,0,0,0,53,0,0,,
1357023600000000000,0,14,0,0,53,0,25,,
1357024500000000000,0,21,0,0,53,0,63,,
1357025400000000000,0,21,0,0,53,0,63,,
1357026300000000000,0,21,0,0,53,0,63,,
1357027200000000000,0,21,0,0,53,0,63,,
1357028100000000000,0,21,0,0,53,0,63,,
1357029000000000000,0,21,0,0,53,0,63,,
1357029900000000000,0,21,0,0,53,0,63,,
1357030800000000000,0,21,0,0,53,0,63,,
1357031700000000000,0,21,0,0,53,0,63,,
1357032600000000000,0,21,0,0,53,0,0,,
1357033500000000000,0,21,0,0,0,0,0,,
1357034400000000000,0,0,0,0,53,0,0,,
1357035300000000000,0,14,0,0,0,0,0,,
1357036200000000000,0,21,0,0,53,0,63,,
1357037100000000000,0,21,0,0,53,0,63,,
1357038000000000000,0,0,0,0,0,0,0,,
1357038900000000000,0,21,0,0,0,0,25,,
1357039800000000000,0,0,0,0,0,0,25,,
1357040700000000000,0,0,0,0,0,0,0,,
1357041600000000000,0,14,0,0,24,0,0,,
1357042500000000000,0,0,0,0,53,0,0,,
1357043400000000000,0,0,0,0,0,0,0,,
1357044300000000000,0,21,0,0,53,0,63,,
1357045200000000000,0,14,0,0,53,0,0,,
1357046100000000000,0,14,0,0,0,0,0,,
1357047000000000000,0,21,0,0,0,0,0,,
1357047900000000000,0,0,0,0,0,0,25,,
1357048800000000000,0,14,0,0,0,0,25,,
1357049700000000000,0,0,0,0,0,0,0,,
1357050600000000000,0,0,0,0,0,0,0,,
1357051500000000000,0,0,0,0,24,0,25,,
1357052400000000000,0,0,0,0,0,0,25,,
1357053300000000000,0,14,0,0,0,0,0,,
1357054200000000000,0,0,0,0,0,0,25,,
1357055100000000000,0,14,0,0,0,0,25,,
1357056000000000000,0,14,0,0,0,0,0,,
1357056900000000000,0,0,0,0,0,0,0,,
1357057800000000000,0,14,0,0,53,0,25,,
1357058700000000000,0,21,0,0,0,0,25,,
