,min1,min2,min3,min123,max1,max2,max3,max123,mean1,mean2,mean3,mean123,std1,std2,std3,std123,sad1,sad2,sad3,sad123,corl1,corl2,corl3,corl123,onoff1,onoff2,onoff3,onoff123,range1,range2,range3,range123,pfixed,ptime,pprob
0,0.00581347606677,0.0271770705571,0.00434764335315,0.00581347606677,0.109262218022,0.165036114227,6.90116981102e-05,0.109262218022,0.00973147816639,0.0118491417764,0.000155908641127,0.00973147802231,0.0288089365991,0.0374011235871,3.6960143174e-05,0.0288089365594,0.0200028669928,0.0396173256219,0.000280008836971,0.0200028570404,0.684280315059,0.684142130488,0.298028965076,0.684280315059,0.0277777777778,0.0309278350515,0.0,0.0305676855895,0.117015975478,0.17742817167,0.000157791488384,0.117015975478,0.0,0.0,1.0
1,0.0373387530234,0.0797267845231,0.00463250505513,0.0373387530234,0.0285204719607,0.0431418656942,0.00065331074211,0.0285204719607,0.0324993213618,0.0393329601158,0.000122467265629,0.0324993208807,0.0183667857327,0.023843064697,0.000119602347086,0.0183667857074,0.00368263376289,0.00743514484084,0.000166078201655,0.0036826319306,0.977800573789,0.977544756975,0.671541785697,0.977800573789,0.0277777777778,0.0309278350515,0.0,0.0305676855895,0.033154009561,0.050273136726,0.000716967691251,0.033154009561,0.0,0.015625,1.0
2,0.0361349995521,0.0759703791141,0.00610818206866,0.0361349995521,0.0580761602059,0.0877241297468,0.00077334927155,0.0580761602059,0.0337717924123,0.040649273818,0.000601757207229,0.0337717919123,0.0301005889538,0.0391848394164,0.00048807349769,0.0301005889124,0.0235143165057,0.0464887419829,0.000622309361828,0.0235143048063,0.925448240805,0.925615367087,0.917033864664,0.925448240805,0.138888888889,0.154639175258,0.0,0.170305676856,0.0630567618385,0.0956843896587,0.000704829884452,0.0630567618385,0.0,0.03125,1.0
3,0.00685299650632,0.0290983090028,0.00509482158785,0.00685299650632,0.163588512558,0.247011334645,0.000318708569454,0.163588512558,0.023020136146,0.0277761692396,0.000386359565525,0.0230201358052,0.0421430346264,0.0546715027447,8.73452911483e-05,0.0421430345684,0.0122078378616,0.0241287342776,0.000633936955189,0.0122078317877,0.953543706043,0.953305747804,0.4017076011,0.953543706043,0.0601851851852,0.0670103092784,0.0,0.0655021834061,0.171730040127,0.260302467385,0.000340695680489,0.171730040127,0.0,0.046875,1.0
4,0.391740571531,0.661047428461,0.00696276717459,0.391740571531,0.398364691339,0.601482621379,0.000334602172656,0.398364762507,0.359867057136,0.434082838665,0.000575627340216,0.359867033206,0.492587466125,0.639210358386,7.79005603827e-05,0.492587430074,0.029197951754,0.0580142371297,0.000624089528004,0.0291981860001,0.999278261834,0.999019606425,0.369154835443,0.999278268773,0.0787037037037,0.0876288659794,0.0,0.0917030567686,0.378920419495,0.574495149328,0.000189182368036,0.378920491276,0.0,0.0625,1.0
5,0.258536385082,0.441678885743,0.00720560010087,0.258536385082,0.388023915446,0.586018762586,0.085423934679,0.388024627131,0.428777374555,0.515427183381,0.00450281306026,0.428777368017,0.494969761713,0.644735788768,0.0257873464523,0.494969757973,0.0316102425308,0.0589225265212,0.00490064207344,0.0316101777493,0.998715869576,0.998486826098,0.981249251613,0.998715876718,0.0648148148148,0.0515463917526,0.0204081632653,0.0917030567686,0.378737233895,0.574371713689,0.0853162254434,0.378737951706,0.0,0.078125,1.0
6,0.687040894025,0.55048553538,0.586128636073,0.687040894025,0.0589959412633,0.0448628192552,0.0885449364444,0.0589959412633,0.139964266949,0.0846397209992,0.184821792813,0.139964264877,0.0116853729972,0.0167786586501,0.0235066006548,0.0116853729812,0.0166640313019,0.0300764474474,0.00599158724547,0.0166640230108,0.977145071957,0.989357222411,0.988455547569,0.977145071957,0.0277777777778,0.00515463917526,0.0255102040816,0.109170305677,0.0139140661418,0.0186766611073,0.0365523773569,0.0139140661418,0.0,0.09375,1.0
7,0.717080608558,0.549231350923,0.973587249403,0.717080608558,0.188837655512,0.240043676318,0.0885056206891,0.18883772668,0.166003987226,0.113576356651,0.190250957951,0.166003984768,0.03344392854,0.0434213550948,0.000883501860649,0.0334439310587,0.0362301850447,0.0721097125935,0.00185231942019,0.0362302090647,0.741305751398,0.741339851363,0.88401597506,0.74130548587,0.0416666666667,0.0463917525773,0.0,0.109170305677,0.142562901499,0.21641097493,0.00178635032473,0.14256297328,0.0,0.109375,1.0
8,0.72044365314,0.555582196729,0.974292398862,0.72044365314,0.176563944497,0.221501234765,0.0883642512712,0.176563944497,0.146584934981,0.0903232190962,0.18986726523,0.14658493281,0.0217154973155,0.0281293151276,0.000748560711947,0.0217154972856,0.0183147315638,0.0355565253752,0.00268844651948,0.0183147224513,0.72736156365,0.726532630824,0.794756577491,0.72736156365,0.0277777777778,0.0309278350515,0.0,0.0524017467249,0.129924817816,0.197184622488,0.0015816817894,0.129924817816,0.0,0.125,1.0
9,0.514532757025,0.219863453741,0.976225722545,0.514532757025,0.367752293937,0.51026670803,0.0882224636005,0.367752222769,0.204280712074,0.15995303543,0.189818973168,0.204280699558,0.28576860299,0.370938044849,0.000446670111782,0.285768564325,0.0247640217967,0.0491149062941,0.00188595890961,0.0247642162026,0.99290457763,0.992660664691,0.742049607705,0.992904600433,0.037037037037,0.0412371134021,0.0,0.056768558952,0.338598770848,0.513372085303,0.00126651735769,0.338598699066,0.0,0.140625,1.0
10,0.778835961062,0.653817423942,0.973545220628,0.778835961062,0.467453599949,0.660741039809,0.0883717798201,0.467453315276,0.802221712287,0.881313281333,0.189891454388,0.802221694525,0.240422854224,0.311974238405,0.00055243945698,0.240422851944,0.0621208357861,0.122818350231,0.00257287700101,0.0621208434205,0.98221848879,0.981974406738,0.676827908515,0.982218547455,0.0648148148148,0.0721649484536,0.0,0.113537117904,0.418827172856,0.635013879434,0.00165618281044,0.418826885731,0.0,0.15625,1.0
