,0
2012-06-02,0.923076923077
2012-06-03,0.731707317073
2012-06-04,0.815789473684
2012-06-05,0.918918918919
2012-06-06,0.74358974359
2012-06-07,0.833333333333
2012-06-10,0.5
2012-06-11,0.90243902439
2012-06-13,0.666666666667
2012-06-16,0.868421052632
2012-06-17,0.761904761905
2012-06-18,0.888888888889
2012-06-20,0.864864864865
2012-06-22,0.757575757576
2012-06-24,0.75
2012-06-25,0.875
2012-06-26,0.914285714286
2012-06-28,0.853658536585
2012-06-30,0.684210526316
2012-07-01,0.914285714286
2012-07-04,0.848484848485
2012-07-05,0.794871794872
2012-07-07,0.65
2012-07-08,0.942857142857
2012-07-10,0.833333333333
2012-07-11,0.756097560976
2012-07-13,0.954545454545
2012-07-14,0.47619047619
2012-07-16,0.787878787879
2012-07-17,0.972972972973
2012-07-19,0.888888888889
2012-07-20,0.977272727273
2012-07-22,0.837837837838
2012-07-23,0.675675675676
2012-07-24,0.909090909091
2012-07-25,0.4
2012-08-02,1.0
2012-08-04,0.926829268293
2012-08-06,0.947368421053
2012-08-07,0.933333333333
2012-08-09,0.837837837838
2012-08-11,0.852941176471
2012-08-12,0.731707317073
2012-08-14,0.685714285714
2012-08-15,0.904761904762
2012-08-16,0.95
2012-08-18,0.642857142857
2012-08-20,0.916666666667
2012-08-21,0.914285714286
2012-08-22,0.894736842105
2012-08-23,0.711111111111
2012-08-25,0.8
2012-08-26,0.769230769231
2012-08-27,0.974358974359
2012-08-29,0.894736842105
2012-08-30,0.925
